trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op
1	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.239046
2	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.320979
3	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.416737
4	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.231918
5	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.232201
6	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.392323
7	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.238297
8	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.388593
9	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.232153
10	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.381741
11	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.236872
12	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.395604
13	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.235783
14	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.451338
15	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.339227
16	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.386085
17	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.234659
18	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.241825
19	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.232483
20	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.411916
21	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.233637
22	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.399168
23	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.342980
24	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.235454
25	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.235310
26	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.387300
27	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.350385
28	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.416814
29	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.241317
30	guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	24.427179
1	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.891175
2	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.891429
3	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.892512
4	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.889854
5	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.888848
6	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.898858
7	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.895439
8	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.893994
9	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.892831
10	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.894811
11	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.891804
12	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.893696
13	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.891961
14	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.892311
15	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.889820
16	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.890608
17	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.888344
18	guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	33.896510
