benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.791691	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.956026	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.570131	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.271930	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.586626	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.872721	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.349919	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.490182	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.505262	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.170828	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.805065	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.691802	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.102714	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.389427	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.790070	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.008205	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.417356	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.786591	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.787026	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.004387	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.432921	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.594716	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.945893	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	242.365255	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.405557	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.573738	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.811792	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	243.440878	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.795812	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	241.495587	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	513.529432	1.005379	1.055502	1.064668
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	472.293934	1.004983	1.050914	1.052975
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	508.812312	1.005304	1.056232	1.064186
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	471.268733	1.004603	1.049841	1.054606
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	468.556936	1.005130	1.055766	1.057857
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	450.859101	1.004745	1.046767	1.048987
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	466.025242	1.004601	1.049154	1.052972
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	452.940958	1.004866	1.047193	1.049042
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	488.041230	1.005902	1.055038	1.059241
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	468.056216	1.005189	1.053384	1.056128
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	467.162233	1.004931	1.055004	1.055766
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	505.182652	1.005263	1.060690	1.063487
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	464.892516	1.004739	1.053456	1.057933
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	462.575781	1.005241	1.052893	1.056250
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	452.609727	1.004851	1.047078	1.049174
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	449.300391	1.005057	1.045403	1.050587
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	462.200580	1.005286	1.057793	1.058400
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	502.713317	1.004800	1.049913	1.060097
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	497.937491	1.005072	1.057707	1.063595
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	465.247154	1.004876	1.056142	1.055595
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	463.587493	1.004905	1.052827	1.055877
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	449.713241	1.004938	1.046170	1.051848
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	451.250577	1.005378	1.049461	1.051917
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	467.693085	1.004732	1.056117	1.055348
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	452.543369	1.005015	1.045442	1.049950
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	451.164228	1.005213	1.044151	1.048775
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	465.599128	1.004979	1.055120	1.055030
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	451.875518	1.004258	1.045688	1.048659
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	464.372035	1.005204	1.058098	1.056990
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	2	8000	465.400000	1.004892	1.053692	1.056313
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	808.983359	1.002618	1.081583	1.081924
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	802.997779	1.002877	1.081190	1.084087
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	789.362359	1.002923	1.079364	1.084089
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	799.173989	1.002903	1.081053	1.084676
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	799.551779	1.002984	1.085696	1.084968
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	804.941957	1.002733	1.082078	1.089691
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	801.502421	1.003039	1.083204	1.091478
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	804.384945	1.002745	1.080066	1.084323
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	805.984153	1.002527	1.080590	1.088149
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	799.496060	1.002630	1.080685	1.090019
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	800.890144	1.003102	1.084458	1.087927
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	829.237680	1.003062	1.082698	1.091508
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	803.613932	1.002585	1.082778	1.090228
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	797.852526	1.002393	1.080587	1.090154
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	797.152608	1.003067	1.080864	1.088575
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	829.851880	1.002830	1.083069	1.094450
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	801.610951	1.002711	1.081780	1.090102
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	782.496389	1.002923	1.084672	1.083061
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	835.040599	1.002684	1.083469	1.091563
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	799.894509	1.002936	1.085655	1.093061
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	835.239973	1.002827	1.080454	1.092843
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	798.151260	1.002768	1.082095	1.089745
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	798.979376	1.002663	1.083341	1.089067
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	818.101244	1.003209	1.080437	1.090412
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	785.086688	1.002900	1.084340	1.088998
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	801.218559	1.002795	1.080710	1.093009
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	837.856482	1.002902	1.081247	1.093667
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	786.325408	1.002876	1.085699	1.093176
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	796.592543	1.002575	1.080385	1.086081
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	4	8000	829.094276	1.002929	1.082320	1.097780
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1774.520539	1.005003	1.070664	1.085048
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1829.578517	1.005084	1.068597	1.088157
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1787.561867	1.004780	1.068095	1.086889
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1830.242384	1.005226	1.068627	1.088819
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1831.651923	1.005067	1.067450	1.089063
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1819.464669	1.004876	1.068261	1.087709
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1845.483835	1.004483	1.064261	1.088883
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1828.111933	1.004806	1.066282	1.085130
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	8	8000	1841.864185	1.004804	1.066676	1.085867
