trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	memory_0	runtime_0	allocated_instances_0	reclaimed_instances_0	memory_1	runtime_1	allocated_instances_1	reclaimed_instances_1	memory_2	runtime_2	allocated_instances_2	reclaimed_instances_2	memory_3	runtime_3	allocated_instances_3	reclaimed_instances_3	memory_4	runtime_4	allocated_instances_4	reclaimed_instances_4	memory_5	runtime_5	allocated_instances_5	reclaimed_instances_5	memory_6	runtime_6	allocated_instances_6	reclaimed_instances_6	memory_7	runtime_7	allocated_instances_7	reclaimed_instances_7	memory_8	runtime_8	allocated_instances_8	reclaimed_instances_8	memory_9	runtime_9	allocated_instances_9	reclaimed_instances_9	memory_10	runtime_10	allocated_instances_10	reclaimed_instances_10	memory_11	runtime_11	allocated_instances_11	reclaimed_instances_11	memory_12	runtime_12	allocated_instances_12	reclaimed_instances_12	memory_13	runtime_13	allocated_instances_13	reclaimed_instances_13	memory_14	runtime_14	allocated_instances_14	reclaimed_instances_14	memory_15	runtime_15	allocated_instances_15	reclaimed_instances_15	memory_16	runtime_16	allocated_instances_16	reclaimed_instances_16	memory_17	runtime_17	allocated_instances_17	reclaimed_instances_17	memory_18	runtime_18	allocated_instances_18	reclaimed_instances_18	memory_19	runtime_19	allocated_instances_19	reclaimed_instances_19	memory_20	runtime_20	allocated_instances_20	reclaimed_instances_20	memory_21	runtime_21	allocated_instances_21	reclaimed_instances_21	memory_22	runtime_22	allocated_instances_22	reclaimed_instances_22	memory_23	runtime_23	allocated_instances_23	reclaimed_instances_23	memory_24	runtime_24	allocated_instances_24	reclaimed_instances_24	memory_25	runtime_25	allocated_instances_25	reclaimed_instances_25	memory_26	runtime_26	allocated_instances_26	reclaimed_instances_26	memory_27	runtime_27	allocated_instances_27	reclaimed_instances_27	memory_28	runtime_28	allocated_instances_28	reclaimed_instances_28	memory_29	runtime_29	allocated_instances_29	reclaimed_instances_29	memory_30	runtime_30	allocated_instances_30	reclaimed_instances_30	memory_31	runtime_31	allocated_instances_31	reclaimed_instances_31	memory_32	runtime_32	allocated_instances_32	reclaimed_instances_32	memory_33	runtime_33	allocated_instances_33	reclaimed_instances_33	memory_34	runtime_34	allocated_instances_34	reclaimed_instances_34	memory_35	runtime_35	allocated_instances_35	reclaimed_instances_35	memory_36	runtime_36	allocated_instances_36	reclaimed_instances_36	memory_37	runtime_37	allocated_instances_37	reclaimed_instances_37	memory_38	runtime_38	allocated_instances_38	reclaimed_instances_38	memory_39	runtime_39	allocated_instances_39	reclaimed_instances_39	memory_40	runtime_40	allocated_instances_40	reclaimed_instances_40	memory_41	runtime_41	allocated_instances_41	reclaimed_instances_41	memory_42	runtime_42	allocated_instances_42	reclaimed_instances_42	memory_43	runtime_43	allocated_instances_43	reclaimed_instances_43	memory_44	runtime_44	allocated_instances_44	reclaimed_instances_44	memory_45	runtime_45	allocated_instances_45	reclaimed_instances_45	memory_46	runtime_46	allocated_instances_46	reclaimed_instances_46	memory_47	runtime_47	allocated_instances_47	reclaimed_instances_47	memory_48	runtime_48	allocated_instances_48	reclaimed_instances_48	memory_49	runtime_49	allocated_instances_49	reclaimed_instances_49
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	1040664021.511265	7626752	142	1	0	7626752	305	8980	2733	26263552	468	13977	4394	50225152	632	19347	6171	50225152	795	24653	7956	74285056	958	29845	9670	93478912	1121	35264	11488	93749248	1285	40548	13253	127000576	1448	46035	15081	136732672	1611	51621	16986	138354688	1774	56963	18766	174579712	1938	62081	20460	179986432	2101	67040	22089	181608448	2264	72144	23787	220266496	2427	77897	25724	223240192	2591	83532	27617	229187584	2754	88460	29247	233242624	2917	89370	52071	239190016	3080	115591	64697	262168576	3244	127057	69103	262709248	3407	134154	75125	267304960	3570	143501	95108	277577728	3733	159928	97850	285417472	3897	162335	118776	289288192	4061	165749	142320	289288192	4226	183647	143302	295776256	4390	204215	145031	296316928	4554	204992	158999	291168256	4718	204992	171599	291168256	4882	204992	184370	291168256	5046	222798	186584	292511744	5210	242808	188937	295215104	5374	249949	197293	284577792	5538	249949	210085	284577792	5702	249949	223026	284577792	5866	259109	231017	284577792	6030	277783	232391	285556736	6194	293491	254634	285523968	6358	293491	267511	285523968	6522	303846	274613	285523968	6685	322156	275922	288477184	6850	336890	282271	288706560	7014	336890	296976	288706560	7178	336890	309762	288706560	7342	345347	317795	288706560	7506	363611	319106	290316288	7670	380309	326373	287694848	7834	380309	345242	287694848	7998	380309	357981	300728320	8030	380309	360626
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	769267362.041275	301027328	8130	380309	360626	306667520	8293	402094	361935	306896896	8457	423465	372145	302149632	8622	423465	388849	302149632	8786	423465	401389	302149632	8950	438957	404908	302948352	9114	457522	406291	305348608	9278	468826	424950	303484928	9442	469498	436942	302575616	9606	479109	445658	302952448	9770	497123	449313	303435776	9934	512124	463924	299880448	10098	512124	480668	298565632	10262	514402	492604	298565632	10426	532455	493943	300163072	10590	551174	495229	294428672	10754	555461	524658	294232064	10918	558707	536041	294232064	11082	577133	537471	295305216	11246	595519	538736	298459136	11410	599960	554157	299909120	11575	600645	566329	302071808	11739	601471	578842	302342144	11903	617417	582920	303423488	12067	635875	584334	301453312	12231	644803	610570	298000384	12395	644803	623414	298000384	12559	661651	626447	298532864	12723	680231	627736	294535168	12887	688305	648839	290545664	13052	688305	661676	290545664	13215	697496	669311	290545664	13379	716132	670727	294547456	13544	731688	674311	294547456	13708	731688	687223	293588992	13872	731688	699784	293326848	14036	733328	712145	293326848	14200	751951	713606	293863424	14364	770218	714842	294670336	14528	775191	723500	291672064	14692	775191	736186	291672064	14856	775191	748565	291672064	15020	784441	756222	291672064	15184	802887	757637	292741120	15347	818671	758830	292741120	15512	818671	772723	290004992	15676	818671	785493	289792000	15840	818671	798160	289792000	16003	836972	800375	299876352	16677	861993	842310
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	832486842.948977	299941888	16798	861993	842310	306937856	16961	885387	844189	309882880	17125	906800	848603	305324032	17290	906800	867274	305324032	17454	906800	879988	305324032	17618	915649	887812	305324032	17782	933856	889183	307462144	17945	950091	893621	306458624	18110	950091	906584	295276544	18274	950091	919290	295276544	18438	953163	930639	295276544	18602	971443	931979	297152512	18765	989820	933294	292757504	18930	993390	960165	292749312	19094	993390	972725	292749312	19258	1010967	975060	294084608	19422	1029441	976261	298369024	19586	1036816	993366	294645760	19751	1036816	1006067	294645760	19915	1040414	1017447	294645760	20079	1058706	1018870	295718912	20242	1076971	1020074	297594880	20407	1080121	1028712	291442688	20571	1080121	1041218	291442688	20735	1080121	1053958	291102720	20898	1090233	1061201	291102720	21062	1108606	1062609	294862848	21226	1123472	1072830	291377152	21391	1123472	1086484	291246080	21555	1123472	1099288	291246080	21718	1136137	1104778	291246080	21882	1154694	1106172	292585472	22046	1166908	1109756	292585472	22210	1166908	1122397	291643392	22374	1166908	1135198	291643392	22538	1168734	1147384	291643392	22702	1186897	1148876	292446208	22865	1205169	1150124	293572608	23029	1210352	1169845	293146624	23194	1210352	1182458	293146624	23357	1217744	1191243	293146624	23521	1235978	1192613	294756352	23685	1253586	1193783	294756352	23849	1253586	1204603	292888576	24013	1253586	1217309	292872192	24177	1253586	1229926	292872192	24341	1267063	1234988	292872192	24505	1285256	1236368	293408768	24669	1296936	1239546	300658688	25156	1296936	1277253
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	816768802.152273	300658688	25282	1296936	1277253	308183040	25445	1324408	1279387	309256192	25609	1341078	1289848	300609536	25774	1341110	1309791	300609536	25938	1343300	1321620	300609536	26101	1361699	1323016	301944832	26266	1380773	1324356	304312320	26430	1384673	1337964	292761600	26594	1384673	1350476	292687872	26758	1384673	1363020	292687872	26922	1400560	1366160	293220352	27085	1418840	1367534	294113280	27249	1428094	1388637	290598912	27414	1428094	1401431	290598912	27578	1437349	1409115	290869248	27742	1455730	1410475	296218624	27905	1471473	1411779	296218624	28070	1471473	1424431	294359040	28234	1471473	1437093	294359040	28398	1471473	1449860	294359040	28562	1488041	1453062	294895616	28726	1506393	1454353	294375424	28890	1514829	1476047	294375424	29054	1514829	1488760	294375424	29218	1524918	1495938	294375424	29382	1543009	1497232	295710720	29546	1558124	1498271	295710720	29710	1558124	1510622	294240256	29874	1558124	1523357	294240256	30037	1558124	1536166	294240256	30201	1574117	1539617	294240256	30365	1592202	1540910	295845888	30530	1601273	1545409	295329792	30694	1601273	1557866	290668544	30858	1601273	1570627	290668544	31022	1604819	1581875	290668544	31185	1623176	1583266	292007936	31349	1641423	1584436	293085184	31514	1644544	1596419	292118528	31678	1644544	1609151	291962880	31842	1644544	1621811	291962880	32006	1659325	1625963	291962880	32170	1677639	1627308	294637568	32334	1687738	1631194	294359040	32498	1687738	1643944	290795520	32662	1687738	1656624	290795520	32826	1690496	1668264	290795520	32990	1708877	1669652	292401152	33154	1727132	1670942	300974080	33490	1731098	1711415
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	853657346.437415	300974080	33578	1731098	1711415	321486848	33741	1759185	1716760	323629056	33905	1779191	1719586	316391424	34070	1779204	1735749	313196544	34234	1779204	1748381	313196544	34398	1782183	1759754	313196544	34562	1800286	1761083	314265600	34725	1818600	1762309	290783232	34889	1822541	1791537	290619392	35054	1825446	1803084	290619392	35218	1843737	1804434	292220928	35382	1862006	1805674	294629376	35546	1865869	1814398	290742272	35710	1865869	1826964	290742272	35874	1865869	1839416	290742272	36038	1875432	1846932	290742272	36202	1893598	1848325	293146624	36365	1909342	1849590	293146624	36530	1909342	1862414	291864576	36693	1909342	1875042	291872768	36857	1909342	1887737	291872768	37021	1925586	1890905	291872768	37185	1943686	1892154	294547456	37350	1952594	1901204	294367232	37514	1952594	1913866	294367232	37678	1952594	1926536	294514688	37842	1962466	1933681	294514688	38005	1980490	1934973	295854080	38169	1995859	1950392	294866944	38334	1995859	1964319	294866944	38498	1998184	1976365	294866944	38661	2016277	1977742	295403520	38825	2034605	1979032	296206336	38989	2039164	1986657	294100992	39154	2039164	1999324	294100992	39318	2039164	2012240	294100992	39482	2047919	2020198	294100992	39646	2066147	2021562	296243200	39810	2082565	2022712	296243200	39974	2082565	2034497	293937152	40138	2082565	2047241	293937152	40302	2082565	2059979	293937152	40466	2097495	2064041	294203392	40630	2115590	2065294	295010304	40794	2125786	2069269	295026688	40958	2125786	2082079	292823040	41122	2125786	2094733	292876288	41286	2128514	2106337	292876288	41450	2146516	2107732	300978176	42146	2169143	2149460
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	885233721.496999	7630848	127	1	0	8163328	290	9917	3133	41709568	454	15010	4823	50229248	617	20513	6656	50769920	780	25994	8496	93483008	943	31677	10412	93483008	1107	37349	12300	98349056	1270	42944	14157	136736768	1433	48756	16113	136736768	1596	54491	18036	148090880	1760	59851	19842	179990528	1923	65279	21652	179990528	2086	70325	23322	204591104	2249	76285	25318	223244288	2413	82182	27291	225136640	2576	87981	29230	229732352	2739	89612	39738	231084032	2903	89632	62963	246222848	3067	103844	71307	265687040	3231	125583	73346	277041152	3395	137331	87119	278122496	3559	140026	97790	281636864	3723	160694	98953	294342656	3886	169613	125720	294342656	4050	176335	141238	299749376	4215	201227	144181	302297088	4378	206807	162212	306184192	4543	228621	167920	315375616	4706	236514	170141	319971328	4870	241816	188332	322945024	5033	254205	208914	323522560	5196	275421	213363	333520896	5360	285914	231152	334544896	5524	306170	255927	339070976	5688	325273	265757	341770240	5852	329911	281306	341458944	6017	342074	285970	349872128	6181	362686	308603	351301632	6346	365751	326680	352260096	6511	373774	334718	354402304	6675	394288	336203	357302272	6839	400106	351746	349376512	7004	400680	362452	347930624	7168	400806	372218	346632192	7331	402511	381254	347164672	7495	420250	382467	349040640	7659	438371	383597	324243456	7823	443809	404990	323043328	7988	443809	414462	331431936	8155	443809	424126
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	996212517.554306	331689984	8251	443809	424126	341401600	8414	465321	425909	343543808	8578	485874	428649	343797760	8742	489000	437664	343855104	8907	489000	447112	327606272	9071	489000	456590	327606272	9235	489000	466106	327606272	9399	501698	470205	327606272	9563	519555	471385	330350592	9727	532168	475370	330399744	9891	532168	485072	312303616	10055	532168	494667	311902208	10219	532168	504150	311902208	10383	535396	512705	311902208	10547	553700	514057	313233408	10711	571854	515261	314572800	10875	575500	531499	311730176	11040	575500	540933	311730176	11204	575500	550411	311730176	11368	584303	556476	311730176	11531	602349	557744	313061376	11695	618694	568382	308322304	11859	618694	587693	308322304	12024	618694	597070	308322304	12188	634440	600208	308322304	12352	652572	601377	311803904	12516	661918	605549	311803904	12681	661918	614985	309096448	12845	661918	624535	309088256	13009	661918	634122	309088256	13173	665486	642494	309088256	13337	683810	643831	309886976	13500	701676	644947	310419456	13664	705028	651607	310419456	13829	705028	660835	308772864	13993	705028	670230	308932608	14157	705028	679487	308932608	14321	712902	685950	308932608	14485	730617	687154	311607296	14649	748195	690007	310697984	14813	748199	708872	310697984	14979	748199	718197	310624256	15143	748199	727679	310419456	15307	765712	729742	310685696	15471	783930	730876	311488512	15635	791236	735487	311488512	15800	791236	744967	308830208	15963	791236	754183	308453376	16128	791236	763737	317288448	16260	791236	771553
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	950171226.737500	317272064	16363	791236	771553	318869504	16526	810431	773221	321814528	16690	831474	775980	321933312	16854	837190	806417	317255680	17019	838860	817565	316346368	17183	856607	818898	317145088	17347	874484	820007	319279104	17511	880371	826505	319279104	17676	880371	836063	309358592	17840	880371	845900	309358592	18004	880371	855484	309358592	18167	889691	861404	309628928	18331	907789	862642	313647104	18495	923681	880403	310497280	18660	923681	891366	310497280	18823	923681	900783	310497280	18987	937063	904980	310767616	19151	955146	906193	313712640	19315	966799	908942	313712640	19480	966799	918476	309362688	19643	966799	927804	309248000	19807	966799	937278	309248000	19971	967884	947205	309248000	20135	986065	948555	310059008	20299	1004313	949816	312205312	20463	1010006	962866	307130368	20628	1010006	972563	307130368	20792	1010006	982200	307130368	20956	1013692	990595	307130368	21120	1031882	991946	307396608	21283	1049670	993013	309268480	21447	1053099	1011474	307421184	21612	1053099	1020911	307503104	21776	1053099	1030580	307503104	21940	1066599	1034407	307503104	22104	1084683	1035578	311250944	22267	1096202	1038104	311250944	22432	1096202	1047423	310505472	22596	1096202	1056895	310505472	22760	1096202	1066361	310333440	22924	1096202	1075802	310333440	23088	1113775	1077824	310599680	23251	1131980	1079026	312471552	23415	1139317	1085968	312471552	23580	1139317	1095495	308441088	23744	1139317	1105073	308441088	23908	1139317	1114464	308441088	24071	1148543	1120283	308441088	24235	1166470	1121512	316915712	24956	1182284	1162601
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	992138609.035417	316915712	25059	1182284	1162601	322564096	25222	1206121	1164198	323366912	25386	1226075	1171360	321859584	25551	1226075	1185574	318394368	25715	1226075	1195028	318394368	25879	1226075	1204746	318394368	26043	1242361	1207510	319725568	26207	1260038	1208592	321413120	26371	1269142	1224504	308932608	26536	1269142	1234171	308932608	26700	1269142	1243698	308932608	26864	1277099	1250040	308932608	27027	1295309	1251371	314261504	27191	1312304	1257501	308273152	27355	1312304	1279357	308387840	27520	1312304	1288792	308387840	27684	1324331	1293471	308387840	27848	1342635	1294767	310788096	28011	1355390	1300584	310788096	28176	1355390	1310532	307593216	28340	1355390	1319754	307593216	28504	1355390	1329047	307593216	28668	1361975	1336154	307593216	28832	1380025	1337472	309194752	28996	1398140	1338628	309727232	29159	1398541	1355020	309338112	29324	1398541	1364508	309338112	29488	1398541	1373902	308989952	29652	1407969	1379574	308989952	29816	1426238	1380810	311934976	29980	1441651	1381776	311934976	30145	1441651	1390754	311799808	30309	1441651	1400308	309411840	30473	1441651	1409654	309411840	30637	1441651	1419127	309411840	30801	1455105	1422936	309678080	30965	1473469	1424216	311824384	31129	1484729	1426806	311824384	31294	1484729	1436182	307519488	31457	1484729	1445798	307519488	31621	1484729	1455387	307519488	31785	1484755	1464750	307519488	31949	1503341	1466405	308051968	32113	1521535	1467609	309657600	32277	1527820	1472333	309657600	32441	1527820	1481635	308133888	32605	1527820	1491231	308133888	32769	1527820	1500769	308133888	32933	1533031	1508488	316059648	33992	1570984	1551301
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		160	8000	1006865395.070990	316059648	34079	1570984	1551301	327348224	34242	1593632	1552442	331108352	34406	1614728	1557422	327618560	34571	1615052	1575721	327618560	34735	1615052	1585875	327618560	34899	1616255	1595456	327618560	35063	1634243	1596793	330285056	35227	1652562	1597993	332959744	35391	1658462	1612144	315088896	35556	1658462	1621799	315088896	35719	1658462	1631219	315088896	35883	1662880	1639119	315088896	36047	1681274	1640487	317759488	36211	1699530	1641610	311873536	36375	1701623	1665197	311873536	36540	1701623	1674474	311873536	36703	1706390	1682285	311873536	36867	1724204	1683532	312942592	37031	1742286	1684651	313208832	37195	1744653	1691760	313208832	37360	1744653	1701253	307130368	37524	1744653	1710644	307130368	37688	1744653	1720228	307130368	37851	1754841	1725684	307130368	38015	1772828	1726923	311431168	38179	1787625	1727798	311431168	38343	1787625	1737410	311132160	38507	1787625	1746784	306339840	38671	1787625	1756182	306339840	38835	1787625	1765669	306331648	38999	1802292	1769001	306331648	39163	1820333	1770186	309542912	39327	1830603	1773251	309542912	39491	1830603	1782623	306343936	39655	1830603	1792092	306343936	39819	1830603	1801508	306343936	39983	1831330	1810979	306343936	40147	1849373	1812302	306876416	40310	1867689	1813579	309547008	40475	1873777	1818704	309547008	40639	1873777	1828061	307712000	40803	1873777	1837483	307712000	40967	1873777	1847145	307712000	41131	1880114	1854586	307712000	41295	1898011	1855849	309047296	41459	1915887	1856972	309579776	41623	1916906	1864588	309579776	41787	1916906	1873867	308453376	41951	1916906	1883347	316874752	42190	1916906	1897223
