benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574999
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.584926
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578166
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578528
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574628
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574823
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574867
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.577902
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578056
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574921
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574607
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574710
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578791
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574973
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.577955
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.575564
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.575309
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.579562
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574683
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578835
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574763
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574827
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574425
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.577779
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.578103
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574851
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574436
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.574593
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.577874
guard_ptr	LFRC	N3emr19lock_free_ref_countILb0ELm0EEE		1	10000	44.575280
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.710362
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706393
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	16.273855
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	16.688097
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	16.688215
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	16.316799
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706449
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706381
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706443
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706470
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706409
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706402
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706385
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706546
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706475
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706473
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706395
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706390
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706467
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706974
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706526
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706448
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706433
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706514
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706432
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706393
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706424
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706363
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706421
guard_ptr	static-HPBR	N3emr14hazard_pointerINS_29generic_hazard_pointer_policyILm2ELm2ELm100ENS_30static_hp_thread_control_blockEEEEE		1	10000	15.706411
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.705633
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.711464
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.726585
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.730961
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.743382
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.753484
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.760948
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.772858
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.783704
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.796022
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.799691
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.811022
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.822019
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.831899
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.841154
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.850886
guard_ptr	EBR	N3emr11epoch_basedILm100EEE		1	10000	24.863001
