trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op
1	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.309657
2	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.317983
3	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.316015
4	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.316607
5	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.315821
6	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.327902
7	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.315752
8	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.309709
9	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.312165
10	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.309845
11	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.309665
12	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.317767
13	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.315554
14	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.327298
15	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.321763
16	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.311988
17	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.314901
18	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.329294
19	list	LFRC-padded	N3emr19lock_free_ref_countILb1ELm0EEE	elements: 0; modify-fraction: 0.000000	1	8000	25.309690
