trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	memory_0	runtime_0	allocated_instances_0	reclaimed_instances_0	memory_1	runtime_1	allocated_instances_1	reclaimed_instances_1	memory_2	runtime_2	allocated_instances_2	reclaimed_instances_2	memory_3	runtime_3	allocated_instances_3	reclaimed_instances_3	memory_4	runtime_4	allocated_instances_4	reclaimed_instances_4	memory_5	runtime_5	allocated_instances_5	reclaimed_instances_5	memory_6	runtime_6	allocated_instances_6	reclaimed_instances_6	memory_7	runtime_7	allocated_instances_7	reclaimed_instances_7	memory_8	runtime_8	allocated_instances_8	reclaimed_instances_8	memory_9	runtime_9	allocated_instances_9	reclaimed_instances_9	memory_10	runtime_10	allocated_instances_10	reclaimed_instances_10	memory_11	runtime_11	allocated_instances_11	reclaimed_instances_11	memory_12	runtime_12	allocated_instances_12	reclaimed_instances_12	memory_13	runtime_13	allocated_instances_13	reclaimed_instances_13	memory_14	runtime_14	allocated_instances_14	reclaimed_instances_14	memory_15	runtime_15	allocated_instances_15	reclaimed_instances_15	memory_16	runtime_16	allocated_instances_16	reclaimed_instances_16	memory_17	runtime_17	allocated_instances_17	reclaimed_instances_17	memory_18	runtime_18	allocated_instances_18	reclaimed_instances_18	memory_19	runtime_19	allocated_instances_19	reclaimed_instances_19	memory_20	runtime_20	allocated_instances_20	reclaimed_instances_20	memory_21	runtime_21	allocated_instances_21	reclaimed_instances_21	memory_22	runtime_22	allocated_instances_22	reclaimed_instances_22	memory_23	runtime_23	allocated_instances_23	reclaimed_instances_23	memory_24	runtime_24	allocated_instances_24	reclaimed_instances_24	memory_25	runtime_25	allocated_instances_25	reclaimed_instances_25	memory_26	runtime_26	allocated_instances_26	reclaimed_instances_26	memory_27	runtime_27	allocated_instances_27	reclaimed_instances_27	memory_28	runtime_28	allocated_instances_28	reclaimed_instances_28	memory_29	runtime_29	allocated_instances_29	reclaimed_instances_29	memory_30	runtime_30	allocated_instances_30	reclaimed_instances_30	memory_31	runtime_31	allocated_instances_31	reclaimed_instances_31	memory_32	runtime_32	allocated_instances_32	reclaimed_instances_32	memory_33	runtime_33	allocated_instances_33	reclaimed_instances_33	memory_34	runtime_34	allocated_instances_34	reclaimed_instances_34	memory_35	runtime_35	allocated_instances_35	reclaimed_instances_35	memory_36	runtime_36	allocated_instances_36	reclaimed_instances_36	memory_37	runtime_37	allocated_instances_37	reclaimed_instances_37	memory_38	runtime_38	allocated_instances_38	reclaimed_instances_38	memory_39	runtime_39	allocated_instances_39	reclaimed_instances_39	memory_40	runtime_40	allocated_instances_40	reclaimed_instances_40	memory_41	runtime_41	allocated_instances_41	reclaimed_instances_41	memory_42	runtime_42	allocated_instances_42	reclaimed_instances_42	memory_43	runtime_43	allocated_instances_43	reclaimed_instances_43	memory_44	runtime_44	allocated_instances_44	reclaimed_instances_44	memory_45	runtime_45	allocated_instances_45	reclaimed_instances_45	memory_46	runtime_46	allocated_instances_46	reclaimed_instances_46	memory_47	runtime_47	allocated_instances_47	reclaimed_instances_47	memory_48	runtime_48	allocated_instances_48	reclaimed_instances_48	memory_49	runtime_49	allocated_instances_49	reclaimed_instances_49
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	1844737214.020173	37150720	88	1	0	85172224	252	5866	54	139624448	416	15472	227	184795136	580	23109	290	228540416	743	29913	331	270344192	907	36502	381	305971200	1071	42827	414	347045888	1236	48972	589	386441216	1400	56555	954	415637504	1564	62516	2137	445767680	1728	72963	21791	475537408	1892	80586	22641	504872960	2057	86404	22883	538673152	2221	96307	26468	571613184	2385	121352	53518	591970304	2550	138742	77558	636248064	2714	148632	79315	683220992	2878	157914	81515	723763200	3043	169970	92859	731414528	3207	192352	122153	746004480	3372	233974	153725	761004032	3536	238246	156458	774725632	3700	242255	159342	791764992	3865	246278	164342	798695424	4029	248299	166045	814522368	4194	281909	209661	827400192	4358	347062	265926	835821568	4523	350883	271786	843603968	4687	352616	271888	873373696	4852	367207	291303	900726784	5016	385698	300183	909590528	5181	416667	328207	925982720	5346	428857	337682	937959424	5510	432077	338111	953532416	5675	434750	338234	965124096	5839	437630	340274	975781888	6004	439255	341775	983121920	6168	441121	342928	997294080	6333	532551	461711	1003872256	6497	657384	557836	1009139712	6662	667329	567096	1019445248	6827	668717	567386	1025638400	6991	670151	568177	1031585792	7156	671863	568992	1042890752	7320	711013	617095	1055375360	7485	715639	620204	1065369600	7650	716974	620243	1073086464	7814	718711	620308	1090371584	7979	721912	621782	1249648640	9935	792117	772116
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	151172608.586001	1253826560	10092	792117	772116	1253384192	10256	875490	811028	1252843520	10420	926056	842672	1252253696	10585	967848	869528	1253908480	10749	1003397	893026	1256456192	10914	1026401	909079	1257676800	11079	1033899	917149	1259462656	11244	1050684	932805	1269932032	11409	1074749	956945	1309220864	11573	1094716	977002	1345355776	11738	1107573	992913	1388404736	11902	1118326	996641	1431461888	12067	1129187	1005802	1457397760	12232	1182713	1068982	1462525952	12397	1336940	1248576	1463140352	12561	1466740	1394102	1467138048	12726	1660397	1550994	1480663040	12892	1777041	1756422	1482457088	13057	1964182	1930428	1483661312	13221	2152344	2103996	1484431360	13386	2329033	2269032	1485176832	13552	2468569	2442358	1485365248	13717	2643800	2615248	1485824000	13882	2829417	2788120	1486094336	14046	3023208	2965258	1488470016	14211	3168416	3124831	1488707584	14376	3325946	3302043	1488805888	14540	3511180	3474614	1489027072	14705	3701924	3650275	1489502208	14870	3869282	3810707	1489534976	15035	4010137	3984002	1489674240	15199	4187347	4157732	1489788928	15364	4372468	4330230	1489969152	15529	4564869	4507214	1490092032	15694	4712089	4665294	1490272256	15858	4861644	4839824	1490468864	16023	5044419	5010422	1490485248	16188	5232074	5184093	1490501632	16353	5408616	5348615	1490591744	16519	5547953	5518419	1490608128	16684	5720804	5692112	1490681856	16848	5905101	5864263	1490862080	17013	6097250	6040154	1490968576	17177	6245812	6198096	1490984960	17342	6397326	6375116	1491042304	17507	6581874	6548014	1491107840	17671	6766964	6719728	1491296256	17836	6948006	6888005	1491492864	18002	7088897	7053802	1491476480	18017	7088897	7069918
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	131602791.515085	1491509248	18231	7088897	7069918	1487536128	18396	7220198	7158807	1489502208	18561	7349352	7268961	1489862656	18726	7495144	7384732	1490214912	18891	7574887	7447332	1506041856	19056	7631634	7538294	1541259264	19221	7753773	7632882	1561993216	19387	7876551	7830540	1565876224	19552	8044753	8015746	1565900800	19717	8223149	8183104	1565917184	19882	8409121	8355787	1565941760	20048	8572200	8514842	1565949952	20212	8712536	8685917	1565949952	20377	8889697	8860826	1565958144	20542	9068055	9028916	1565958144	20707	9243622	9194381	1566031872	20872	9419549	9359548	1566031872	21039	9561610	9521690	1566072832	21204	9716301	9693775	1566072832	21369	9892001	9860330	1566171136	21534	10075678	10032101	1566253056	21699	10261921	10204214	1566253056	21864	10410078	10358902	1566261248	22029	10553437	10533617	1566261248	22194	10732438	10702132	1566269440	22359	10915774	10873471	1566269440	22524	11104165	11047666	1566269440	22689	11255801	11200846	1566277632	22854	11396343	11375340	1566277632	23018	11573680	11544965	1566277632	23183	11761166	11718397	1566277632	23348	11949379	11892610	1566285824	23514	12102502	12046769	1566285824	23678	12242936	12220928	1566285824	23843	12418737	12389865	1566367744	24008	12599982	12559757	1566834688	24173	12784737	12730974	1566842880	24338	12945924	12888141	1566842880	24504	13086474	13062510	1566842880	24668	13259352	13231269	1566842880	24833	13441009	13401322	1567465472	24998	13625853	13572368	1567473664	25164	13788686	13729898	1567481856	25329	13927629	13901792	1567490048	25494	14103250	14073766	1567490048	25659	14286280	14245297	1567490048	25824	14470602	14417200	1567490048	25989	14632655	14573267	1567490048	26155	14773960	14744846	1567465472	26164	14773960	14754981
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	134566037.208256	1567490048	26391	14773960	14754981	1566547968	26556	14904235	14843728	1566228480	26721	15044734	14962931	1566646272	26887	15163251	15089837	1567072256	27052	15327826	15241931	1570881536	27218	15453934	15425097	1572061184	27383	15636073	15595662	1572061184	27548	15818165	15766015	1572093952	27713	15985756	15925755	1572093952	27880	16128123	16098084	1572134912	28045	16293408	16268362	1574576128	28210	16457208	16425634	1574617088	28375	16623894	16585098	1574682624	28540	16792543	16746548	1574682624	28705	16967515	16911776	1574707200	28870	17125466	17066144	1574707200	29036	17267364	17236778	1574723584	29201	17427115	17403174	1574723584	29366	17609120	17574075	1574723584	29531	17785853	17740681	1574723584	29696	17969975	17912075	1579679744	29861	18119062	18069702	1579679744	30026	18260373	18240419	1579679744	30191	18442649	18412186	1579679744	30356	18621523	18580391	1579679744	30521	18804259	18750973	1579679744	30686	18967065	18908760	1579696128	30851	19108995	19077821	1579696128	31016	19280240	19252964	1579696128	31181	19457265	19419850	1579696128	31346	19638296	19590008	1579696128	31511	19818103	19758102	1579696128	31678	19960341	19920114	1579696128	31843	20113579	20090917	1579753472	32008	20290592	20257390	1580621824	32173	20469248	20424830	1580621824	32339	20652464	20595638	1580621824	32504	20804126	20750086	1580621824	32669	20945587	20924573	1580621824	32834	21124746	21095028	1580621824	32999	21306534	21265850	1580638208	33164	21487412	21434375	1580638208	33330	21650755	21591074	1580662784	33496	21793572	21762288	1580670976	33660	21958429	21932653	1580670976	33826	22139494	22102827	1580670976	33991	22320559	22271919	1580670976	34156	22499441	22439783	1580670976	34323	22641561	22605932	1580646400	34338	22641561	22622582
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	136129164.120180	1561337856	34554	22641561	22622582	1575919616	34718	22806123	22738624	1578876928	34885	22950501	22867707	1579016192	35050	23093397	23008042	1579245568	35215	23238816	23153286	1583603712	35381	23369041	23307532	1584250880	35546	23565622	23477182	1587273728	35713	23710299	23634071	1590353920	35878	23894932	23834931	1590370304	36046	24036693	23989221	1590378496	36210	24180665	24160762	1590403072	36375	24359840	24329718	1590419456	36540	24536952	24496620	1590419456	36705	24713486	24662547	1590419456	36871	24888012	24828011	1590419456	37038	25028963	24988945	1590419456	37203	25182291	25159997	1590419456	37368	25362506	25329419	1590419456	37533	25535238	25492469	1590419456	37698	25717841	25662887	1590419456	37863	25876664	25819370	1590419456	38028	26018284	25990092	1590427648	38192	26189235	26161940	1590427648	38357	26366621	26328979	1590427648	38523	26547930	26498461	1590427648	38688	26723808	26663807	1590427648	38855	26864840	26817688	1590427648	39019	27006806	26986788	1590427648	39184	27182678	27154111	1590427648	39349	27361476	27322525	1590435840	39514	27538082	27488508	1590435840	39679	27713394	27653393	1590435840	39846	27853551	27816263	1590435840	40011	28009185	27986046	1590435840	40176	28186392	28152396	1590444032	40341	28360380	28316441	1590444032	40507	28543635	28487273	1590444032	40672	28697875	28642699	1590444032	40837	28839716	28812733	1590444032	41001	29011250	28983786	1590444032	41166	29187406	29149711	1590444032	41332	29365623	29317684	1590444032	41497	29544964	29484963	1590444032	41663	29685761	29636064	1590444032	41828	29828278	29808603	1590444032	41993	30006193	29976554	1590444032	42158	30185264	30145009	1590452224	42323	30363378	30312790	1590452224	42488	30534548	30474546	1589075968	42553	30535198	30515563
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	2896648181.955172	37150720	121	1	0	84107264	285	5635	58	130064384	449	13989	258	174669824	613	21965	524	222961664	777	29934	825	264339456	941	37544	1134	300507136	1105	44850	1435	341483520	1269	51482	1717	377364480	1433	58869	2022	410222592	1597	66083	13336	438697984	1761	73519	16067	471703552	1925	79285	16307	494034944	2089	85771	20694	522092544	2253	92276	23302	545865728	2417	98199	27128	572342272	2581	103407	31429	597901312	2745	109676	34837	616914944	2909	113722	37552	635961344	3074	148419	76271	655523840	3238	178509	110470	678215680	3402	186878	120779	689864704	3566	190555	124517	710737920	3731	193572	125363	723083264	3895	196330	125425	740900864	4059	262827	200582	747085824	4224	345245	262936	759595008	4388	348084	266324	778715136	4552	351732	267518	789512192	4717	354472	269575	802635776	4881	356854	271869	813744128	5045	378363	298746	831938560	5210	384824	305440	849977344	5374	389416	309664	862216192	5538	392337	310158	884187136	5702	395613	310278	896376832	5867	398607	313534	911335424	6031	424766	356068	917708800	6196	589648	508451	921976832	6360	647895	554071	931504128	6525	649313	555320	934952960	6689	649948	555365	940843008	6854	651177	555585	951107584	7018	662532	572323	962568192	7183	676046	587103	973193216	7347	677758	589372	981696512	7512	679751	589509	998236160	7676	682634	589622	1015529472	7841	685719	590577	1023434752	8009	719477	639710	1171849216	9806	782608	762611
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	191569126.190129	1176018944	9941	782608	762611	1177083904	10105	934822	876432	1178402816	10270	1107196	1017329	1182908416	10436	1225223	1118363	1185505280	10600	1254471	1137532	1204428800	10765	1267363	1157030	1205215232	10930	1267435	1157030	1206280192	11093	1267545	1157030	1207910400	11257	1267767	1157030	1209450496	11421	1268000	1157031	1211105280	11585	1268249	1157032	1213505536	11750	1268654	1157035	1215676416	11914	1269048	1157039	1229078528	12079	1343839	1264984	1231740928	12244	1521568	1429127	1234173952	12410	1677680	1573435	1237843968	12575	1783072	1661170	1241030656	12740	1791718	1668960	1258930176	12905	1795961	1672985	1299644416	13069	1816662	1699013	1343053824	13234	1825961	1706102	1376878592	13399	1837536	1719725	1417289728	13564	1857914	1743524	1460051968	13728	1869485	1750807	1493778432	13893	1914990	1804939	1512808448	14058	2043183	2007024	1513226240	14223	2220583	2190112	1513431040	14387	2399460	2358227	1513799680	14552	2585742	2530720	1513930752	14717	2743042	2690290	1514119168	14882	2884733	2864892	1514192896	15046	3071596	3039733	1514299392	15211	3252495	3209388	1514463232	15376	3439463	3382363	1518780416	15541	3591368	3539843	1518821376	15705	3733812	3714273	1518821376	15870	3919867	3888127	1518927872	16035	4098952	4056696	1519001600	16199	4284214	4229012	1519181824	16364	4442779	4388409	1519181824	16529	4584745	4562699	1519206400	16694	4765281	4735100	1519230976	16859	4943284	4903124	1519271936	17023	5122798	5071562	1519755264	17188	5292399	5232651	1519755264	17354	5434766	5405124	1519853568	17518	5608987	5580280	1519861760	17683	5786824	5747814	1519976448	17848	5969334	5918857	1518010368	19687	6000038	5980205
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	135550473.480755	1521393664	19891	6000038	5980205	1519247360	20055	6163483	6096867	1519132672	20221	6313905	6234937	1519190016	20387	6483367	6402309	1522130944	20552	6612374	6585349	1522171904	20717	6799429	6758864	1522204672	20881	6992034	6935491	1522237440	21046	7143756	7091781	1522286592	21211	7292675	7271289	1522302976	21376	7479126	7444789	1522302976	21540	7667049	7618431	1522327552	21705	7845342	7785341	1522335744	21871	7986218	7957041	1522409472	22036	8156078	8129170	1522532352	22200	8336192	8298599	1522597888	22365	8525670	8473241	1522597888	22530	8691634	8634557	1522614272	22695	8831925	8812291	1522614272	22860	9015423	8984160	1522614272	23024	9202760	9158349	1522622464	23189	9392724	9333394	1522622464	23354	9535017	9493310	1522622464	23518	9694339	9669816	1522622464	23683	9879975	9843261	1522638848	23848	10068259	10017109	1522647040	24013	10236973	10177703	1522647040	24178	10377140	10353607	1522655232	24343	10556390	10526181	1522663424	24507	10736697	10695324	1522696192	24672	10922670	10867850	1522728960	24837	11080024	11027170	1522753536	25001	11222690	11202834	1522753536	25166	11407803	11375609	1522753536	25331	11582205	11537453	1526726656	25496	11737196	11683556	1526996992	25661	11885645	11825644	1527119872	25827	12013230	11977120	1527291904	25992	12155550	12132145	1527595008	26157	12316554	12283873	1527791616	26321	12476651	12434170	1527971840	26486	12640493	12587007	1528668160	26651	12791316	12731315	1528938496	26818	12921246	12876509	1529110528	26982	13055141	13034309	1529159680	27147	13214752	13184886	1529192448	27312	13371193	13333116	1529298944	27477	13532188	13484309	1529479168	27642	13696127	13637094	1529511936	27807	13828740	13776521	1529470976	27836	13828740	13809761
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	144715496.104032	1529511936	28071	13828740	13809761	1527496704	28236	13939066	13874742	1526915072	28401	14056019	13972068	1529143296	28566	14159110	14054938	1530626048	28733	14222202	14098355	1532461056	28899	14242980	14115578	1555357696	29064	14305552	14186530	1591549952	29229	14358594	14245832	1632681984	29394	14401682	14272193	1665351680	29559	14426976	14288831	1694769152	29724	14486204	14403411	1706909696	29890	14630150	14598887	1707155456	30055	14793444	14751855	1707220992	30220	14956520	14903983	1707294720	30386	15109827	15049826	1707311104	30553	15236391	15199725	1707335680	30717	15377481	15354370	1707343872	30882	15539897	15506624	1707343872	31048	15697604	15654913	1707352064	31213	15860376	15805833	1707352064	31378	16005481	15945951	1707360256	31546	16132597	16097570	1707360256	31711	16278931	16254283	1707499520	31876	16435599	16402077	1707499520	32041	16598463	16555223	1707499520	32207	16762220	16707299	1707524096	32372	16908040	16848039	1707524096	32539	17034928	16998697	1707524096	32704	17175369	17153033	1707524096	32869	17337134	17304584	1707556864	33034	17495750	17453396	1707556864	33199	17660929	17607860	1707565056	33365	17810125	17750124	1707565056	33532	17938461	17901144	1707606016	33697	18081675	18058360	1707606016	33862	18239077	18207614	1707630592	34027	18397161	18355545	1707630592	34192	18559628	18507053	1707630592	34357	18710767	18650766	1707630592	34525	18842602	18801040	1707630592	34690	18978988	18958364	1707630592	34855	19137938	19107750	1707638784	35020	19295235	19255317	1707655168	35186	19458976	19407309	1707655168	35351	19611688	19551687	1707712512	35518	19741950	19700836	1707778048	35683	19882137	19859770	1707778048	35849	20043348	20011501	1708564480	36014	20204525	20163079	1708523520	36104	20260008	20241027
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		512	8000	311905638.813635	1689223168	36331	20260008	20241027	1692680192	36496	20337516	20282332	1692844032	36661	20341840	20283238	1692852224	36826	20341861	20283239	1694769152	36990	20344503	20284618	1696366592	37155	20348668	20288069	1696776192	37319	20351060	20288955	1697939456	37484	20359064	20293590	1698889728	37649	20372753	20300930	1699495936	37813	20380202	20305265	1699815424	37978	20385979	20309153	1700159488	38143	20388741	20310939	1700552704	38308	20394607	20314071	1701158912	38473	20399399	20316670	1702092800	38637	20411324	20323283	1702699008	38802	20421825	20329108	1703518208	38967	20433830	20336723	1705033728	39132	20454124	20348125	1705238528	39297	20465297	20355956	1705934848	39462	20472601	20360230	1706999808	39627	20487749	20369748	1707917312	39792	20502019	20378389	1709121536	39958	20517272	20388639	1709826048	40123	20537893	20401439	1710686208	40288	20553711	20413200	1711177728	40453	20560159	20419167	1712406528	40618	20568002	20423394	1713037312	40783	20575885	20430146	1713971200	40948	20585157	20436367	1714847744	41113	20589843	20439397	1716412416	41277	20602321	20446913	1717313536	41443	20607555	20450349	1720360960	41608	20647516	20509928	1731338240	41773	20754914	20682720	1732780032	41939	20935574	20877352	1732780032	42104	21075808	21023658	1732788224	42269	21210330	21189231	1732796416	42434	21378916	21349955	1732861952	42599	21550906	21511559	1732861952	42765	21728257	21676355	1732861952	42930	21891449	21831448	1732870144	43098	22028869	21994638	1732870144	43262	22182584	22158948	1732870144	43428	22357667	22323578	1732870144	43593	22530973	22486742	1732870144	43758	22709460	22652866	1732878336	43924	22860498	22805873	1732878336	44089	22998647	22971974	1732878336	44253	23166304	23139272	1730854912	44592	23277051	23257506
