benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.481497	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.853936	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.233475	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.716202	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.358611	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.259100	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	219.492883	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.375917	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.995511	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.780357	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.997260	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.880009	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.848610	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	217.758295	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.613565	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	218.123757	1.000000	1.000000	1.000000
