trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	memory_0	runtime_0	allocated_instances_0	reclaimed_instances_0	memory_1	runtime_1	allocated_instances_1	reclaimed_instances_1	memory_2	runtime_2	allocated_instances_2	reclaimed_instances_2	memory_3	runtime_3	allocated_instances_3	reclaimed_instances_3	memory_4	runtime_4	allocated_instances_4	reclaimed_instances_4	memory_5	runtime_5	allocated_instances_5	reclaimed_instances_5	memory_6	runtime_6	allocated_instances_6	reclaimed_instances_6	memory_7	runtime_7	allocated_instances_7	reclaimed_instances_7	memory_8	runtime_8	allocated_instances_8	reclaimed_instances_8	memory_9	runtime_9	allocated_instances_9	reclaimed_instances_9	memory_10	runtime_10	allocated_instances_10	reclaimed_instances_10	memory_11	runtime_11	allocated_instances_11	reclaimed_instances_11	memory_12	runtime_12	allocated_instances_12	reclaimed_instances_12	memory_13	runtime_13	allocated_instances_13	reclaimed_instances_13	memory_14	runtime_14	allocated_instances_14	reclaimed_instances_14	memory_15	runtime_15	allocated_instances_15	reclaimed_instances_15	memory_16	runtime_16	allocated_instances_16	reclaimed_instances_16	memory_17	runtime_17	allocated_instances_17	reclaimed_instances_17	memory_18	runtime_18	allocated_instances_18	reclaimed_instances_18	memory_19	runtime_19	allocated_instances_19	reclaimed_instances_19	memory_20	runtime_20	allocated_instances_20	reclaimed_instances_20	memory_21	runtime_21	allocated_instances_21	reclaimed_instances_21	memory_22	runtime_22	allocated_instances_22	reclaimed_instances_22	memory_23	runtime_23	allocated_instances_23	reclaimed_instances_23	memory_24	runtime_24	allocated_instances_24	reclaimed_instances_24	memory_25	runtime_25	allocated_instances_25	reclaimed_instances_25	memory_26	runtime_26	allocated_instances_26	reclaimed_instances_26	memory_27	runtime_27	allocated_instances_27	reclaimed_instances_27	memory_28	runtime_28	allocated_instances_28	reclaimed_instances_28	memory_29	runtime_29	allocated_instances_29	reclaimed_instances_29	memory_30	runtime_30	allocated_instances_30	reclaimed_instances_30	memory_31	runtime_31	allocated_instances_31	reclaimed_instances_31	memory_32	runtime_32	allocated_instances_32	reclaimed_instances_32	memory_33	runtime_33	allocated_instances_33	reclaimed_instances_33	memory_34	runtime_34	allocated_instances_34	reclaimed_instances_34	memory_35	runtime_35	allocated_instances_35	reclaimed_instances_35	memory_36	runtime_36	allocated_instances_36	reclaimed_instances_36	memory_37	runtime_37	allocated_instances_37	reclaimed_instances_37	memory_38	runtime_38	allocated_instances_38	reclaimed_instances_38	memory_39	runtime_39	allocated_instances_39	reclaimed_instances_39	memory_40	runtime_40	allocated_instances_40	reclaimed_instances_40	memory_41	runtime_41	allocated_instances_41	reclaimed_instances_41	memory_42	runtime_42	allocated_instances_42	reclaimed_instances_42	memory_43	runtime_43	allocated_instances_43	reclaimed_instances_43	memory_44	runtime_44	allocated_instances_44	reclaimed_instances_44	memory_45	runtime_45	allocated_instances_45	reclaimed_instances_45	memory_46	runtime_46	allocated_instances_46	reclaimed_instances_46	memory_47	runtime_47	allocated_instances_47	reclaimed_instances_47	memory_48	runtime_48	allocated_instances_48	reclaimed_instances_48	memory_49	runtime_49	allocated_instances_49	reclaimed_instances_49
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	2339075272.552225	7221248	2556	1	0	7278592	2727	4294	1233	7290880	2917	12075	3914	7540736	3166	14312	4676	10326016	3416	16975	5589	15147008	3667	18967	6287	37027840	3936	21480	7107	69017600	4177	23856	7918	69017600	4426	26124	8688	69017600	4676	28634	9550	69017600	4927	30989	10373	69017600	5176	32832	10979	69017600	5426	35585	11914	69287936	5667	37940	12721	71991296	5906	40217	13492	77668352	6156	42846	14389	100646912	6397	45113	15158	134979584	6627	47528	15985	134979584	6876	49808	16769	134979584	7116	52046	17533	134979584	7366	54684	18438	134979584	7617	56750	19133	134979584	7866	58698	19797	134979584	8116	61133	20630	137142272	8367	63657	21497	140386304	8617	65992	22283	151470080	8866	68188	23031	200941568	9116	69906	23609	200941568	9376	72609	24538	200941568	9627	74943	25334	200941568	9866	77142	26085	200941568	10106	79724	26967	200941568	10357	81885	27698	200941568	10606	83884	28379	202563584	10856	86729	29348	205266944	11106	88974	30115	215810048	11346	90897	49508	221188096	11596	127840	74032	250105856	11786	137592	77866	260517888	12016	143211	85340	263462912	12246	148961	88339	265064448	12476	154497	92528	266133504	12716	158696	102019	266133504	12946	188309	141488	266752000	13116	216482	169307	267169792	13306	234304	172813	268247040	13556	237072	173814	275812352	13796	239952	175046	281325568	14056	270244	224513	332668928	15355	300979	281038
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	333880913.510088	331591680	17936	300979	281038	331841536	18120	346638	293342	323325952	18296	355859	335272	323592192	18466	397640	343572	297385984	18637	405961	384158	297385984	18806	449359	392028	294981632	18986	459998	434343	295215104	19157	501241	442686	294416384	19326	508418	484180	294682624	19496	549358	491142	294424576	19666	562039	530953	294424576	19836	599323	539740	294076416	20006	610347	580689	294076416	20176	647689	591585	293752832	20346	661738	629403	293752832	20516	699019	640024	293040128	20686	710641	680469	293040128	20866	744898	695126	292884480	21036	764539	727058	292884480	21206	794704	743346	292499456	21376	813206	776713	292831232	21556	840537	799490	292261888	21726	866276	823535	292261888	21896	890267	847366	291934208	22066	915926	872840	291344384	22246	939629	901053	291442688	22416	967372	923258	290971648	22596	989377	951621	290938880	22776	1022408	972699	291250176	22946	1035403	1007220	291241984	23126	1074537	1023012	291639296	23296	1086302	1058940	291639296	23466	1125504	1070254	292106240	23636	1132105	1111430	292032512	23806	1174218	1119684	291250176	23976	1181731	1159447	291516416	24146	1225410	1167253	291246080	24316	1233155	1209014	291246080	24496	1277101	1218776	290906112	24676	1286988	1260589	290906112	24846	1325222	1268354	291061760	25016	1338500	1306793	291328000	25186	1375098	1316381	291291136	25356	1386554	1356548	291291136	25536	1421161	1372153	290643968	25706	1441668	1403295	290643968	25876	1470923	1420566	290127872	26046	1489938	1452928	290127872	26216	1518317	1472678	298901504	26306	1518317	1498802
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	336751025.494754	298643456	28906	1518317	1498802	299425792	29076	1558933	1509640	299343872	29247	1573711	1543996	299343872	29416	1612078	1557401	297164800	29606	1623406	1600542	297164800	29786	1667171	1609508	295055360	29956	1674374	1651266	295055360	30136	1719763	1660325	294871040	30316	1730180	1702019	295141376	30486	1770489	1710500	294907904	30656	1778814	1751764	294907904	30836	1816362	1763625	294281216	31006	1833846	1798620	294281216	31186	1866451	1815389	293892096	31356	1884638	1849002	293892096	31526	1918746	1864325	293117952	31696	1934277	1900569	293117952	31876	1968650	1915668	292827136	32046	1985375	1950466	293093376	32226	2016000	1970622	292634624	32406	2040857	1999936	292634624	32576	2067318	2021754	292540416	32746	2090656	2049645	292474880	32916	2113196	2074306	292474880	33096	2143465	2097562	292265984	33266	2162935	2125635	292265984	33436	2193662	2145904	292429824	33616	2208895	2181597	292429824	33786	2246287	2195881	292413440	33956	2259496	2229979	292405248	34126	2296526	2242856	292204544	34306	2305399	2285330	292204544	34486	2350045	2293667	291872768	34656	2357330	2335833	291872768	34826	2401064	2342935	291540992	35006	2411256	2384876	291807232	35176	2452469	2393299	291749888	35356	2462800	2434932	291749888	35526	2502550	2443284	292024320	35706	2516639	2484219	292294656	35886	2553585	2498157	291688448	36056	2568417	2535347	292261888	36236	2599268	2553533	292167680	36406	2622622	2581761	292167680	36576	2649353	2602395	291569664	36756	2673985	2631788	291438592	36936	2695212	2661001	291430400	37116	2729123	2680621	290963456	37286	2745001	2712482	298827776	37336	2745001	2725486
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	335161897.089899	298577920	39856	2745001	2725486	298827776	40036	2788676	2737083	299057152	40206	2800182	2774423	299057152	40376	2838884	2787058	297394176	40546	2850184	2824315	297701376	40716	2890364	2834363	296792064	40886	2898333	2876809	297328640	41056	2940405	2884311	296820736	41236	2950513	2926830	296820736	41406	2992738	2936133	295022592	41576	3000401	2978275	295559168	41746	3041848	2985823	295383040	41916	3049226	3028221	295383040	42086	3093254	3033267	293937152	42266	3103797	3074628	294203392	42436	3142915	3082930	293212160	42606	3152323	3124309	293212160	42786	3188913	3136929	292675584	42956	3206769	3170810	292941824	43126	3238526	3185370	292614144	43296	3255064	3220324	292880384	43466	3284391	3237416	292225024	43636	3306516	3267363	292225024	43806	3335537	3286027	291549184	43976	3355460	3317716	291549184	44146	3384272	3337540	291053568	44316	3406318	3366519	291053568	44496	3434030	3388537	290631680	44666	3457683	3416417	290635776	44836	3479999	3441780	290635776	45006	3508736	3464008	290439168	45176	3529831	3490343	290439168	45346	3558185	3512501	289988608	45516	3575805	3543219	289996800	45686	3608611	3560815	289910784	45866	3625533	3594461	289902592	46036	3660368	3611357	289792000	46216	3675544	3647340	289792000	46386	3711651	3662958	289189888	46566	3727376	3698067	289189888	46736	3764736	3711426	288997376	46906	3773812	3751068	288997376	47086	3816624	3761609	289402880	47256	3823503	3802328	289402880	47426	3867825	3809703	289755136	47596	3875258	3851407	289755136	47766	3916581	3859187	290115584	47936	3923675	3901013	290381824	48106	3965897	3905912	298995712	48247	3965897	3946382
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	337812549.221620	298749952	50796	3965897	3946382	299266048	50966	4007189	3957310	300032000	51136	4021179	3990867	300032000	51316	4060662	4005260	296800256	51496	4071453	4048162	296800256	51666	4113140	4055906	295890944	51836	4120673	4097868	295890944	52006	4162967	4106528	295366656	52176	4170183	4148791	295366656	52356	4214402	4156889	294473728	52526	4221992	4199022	294473728	52696	4264936	4207423	294027264	52876	4274753	4249473	294027264	53046	4315947	4257424	293826560	53216	4323503	4299047	294092800	53386	4363917	4304871	293842944	53556	4375446	4345393	293842944	53726	4413884	4353891	293703680	53906	4427374	4395630	293695488	54076	4460077	4409887	293396480	54256	4482275	4442531	293928960	54436	4510085	4464562	293355520	54606	4533867	4492569	293048320	54776	4557027	4518044	293056512	54946	4584885	4541747	293138432	55116	4608245	4565885	292118528	55286	4634599	4590918	292171776	55456	4654215	4618141	292171776	55626	4684176	4640176	291495936	55796	4706507	4667220	291557376	55976	4737167	4689515	291721216	56156	4752414	4724806	291721216	56326	4789305	4739873	291762176	56496	4804029	4773183	291745792	56666	4839887	4788633	292188160	56836	4852056	4825905	292188160	57006	4890160	4838793	292065280	57186	4902181	4877530	292065280	57356	4943231	4888681	291827712	57526	4950947	4929881	291876864	57696	4992423	4940028	291033088	57866	5003013	4977176	291024896	58036	5041247	4990411	291147776	58206	5054012	5026478	291139584	58376	5090912	5041488	290869248	58556	5105383	5077428	290869248	58726	5144255	5089231	291512320	58906	5153837	5132068	291778560	59076	5195793	5140116	299134976	59250	5201793	5182278
1	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	2072883619.035658	13500416	2510	1	0	17756160	2681	4131	1156	17768448	2870	12017	3870	18022400	3110	14296	4643	20828160	3350	16520	5398	24424448	3590	18827	6206	32329728	3840	20874	6867	80007168	4090	23191	7656	80007168	4340	25438	8420	80007168	4590	27987	9294	80007168	4830	30315	10082	80007168	5070	32085	10676	80007168	5310	34577	11520	80007168	5550	36963	12329	81358848	5790	39346	13129	84873216	6040	41638	13905	92983296	6290	44034	14717	145969152	6530	46510	15557	145969152	6780	48968	16391	145969152	7020	51203	17148	145969152	7270	53436	17901	145969152	7520	55872	18725	145969152	7770	57880	19403	145969152	8020	60235	20200	147050496	8260	62828	21077	150564864	8500	65166	21871	157052928	8740	67402	22627	211931136	8980	69578	23365	211931136	9230	71889	24152	211931136	9470	74161	24926	211931136	9710	76471	25706	211931136	9960	79006	26573	211931136	10210	81310	27349	211931136	10460	83085	27948	212201472	10710	85524	28771	215715840	10960	88038	29619	220852224	11210	90288	30381	226258944	11461	94698	71641	231636992	11630	136183	76362	272191488	11880	141092	81404	272191488	12120	146714	85747	274341888	12360	152691	91732	275947520	12601	156762	94656	275947520	12831	158966	127923	275947520	13011	201370	145955	289427456	13181	212015	188871	289968128	13351	255608	198821	291745792	13521	263797	241163	291745792	13691	310291	250289	293801984	13847	310304	290789
2	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	337502644.013224	298958848	16220	310304	290789	299196416	16390	355709	302706	298975232	16571	369393	345923	298975232	16741	415974	355977	300199936	16921	428360	397892	301006848	17091	466614	412326	299872256	17271	485835	448907	299872256	17451	518074	466801	297226240	17621	539980	500793	297226240	17791	568461	519992	296656896	17961	590851	552725	296656896	18141	621201	572999	296448000	18311	644974	603909	296448000	18491	671548	628456	296292352	18671	701188	657322	296292352	18841	723659	681975	296169472	19011	751266	709144	296161280	19181	776258	732289	296235008	19351	802750	761259	296235008	19531	828629	785946	295940096	19701	856603	812634	295886848	19871	879142	839275	295862272	20041	909397	864562	295899136	20211	930507	890998	295817216	20381	960610	915859	296062976	20551	982082	942815	296062976	20721	1014691	966775	295727104	20901	1031564	1000155	295727104	21081	1069831	1020016	295800832	21261	1084113	1056852	295800832	21430	1128224	1070872	295424000	21601	1134748	1112765	295424000	21771	1178789	1122309	295170048	21941	1186264	1164655	295170048	22121	1233750	1174599	295161856	22301	1244252	1216522	295161856	22481	1287768	1227777	294912000	22651	1297278	1269225	294912000	22820	1339495	1280114	295157760	23001	1350388	1321824	295157760	23181	1392970	1332975	295067648	23351	1403911	1374617	295067648	23531	1444469	1386261	295002112	23711	1462638	1427437	295268352	23881	1497285	1440497	294858752	24061	1516761	1479743	294858752	24231	1548066	1495681	294957056	24401	1568974	1530766	294957056	24581	1598608	1551850	296734720	24674	1598608	1579093
3	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	338866059.171148	302698496	27220	1598608	1579093	302936064	27390	1639699	1590081	302583808	27561	1654070	1623359	302583808	27741	1694247	1641388	300625920	27911	1704323	1679151	300617728	28081	1746555	1693144	299835392	28261	1755573	1733739	299835392	28431	1800129	1744192	299782144	28601	1806579	1786305	299782144	28771	1854046	1795248	299663360	28941	1861184	1836919	299663360	29120	1906341	1846346	299544576	29291	1917609	1888318	299544576	29471	1955427	1903003	299380736	29651	1977579	1939256	299380736	29821	2007958	1957064	298643456	29991	2028757	1991536	298643456	30171	2060683	2010471	298258432	30341	2082054	2044293	298258432	30511	2113120	2061284	298029056	30691	2135196	2097210	298029056	30861	2165975	2113952	297971712	31031	2187289	2148754	297971712	31211	2216571	2170423	298225664	31391	2244427	2201374	298225664	31561	2267976	2225185	298070016	31741	2296694	2254069	297865216	31921	2320898	2280796	297930752	32101	2352719	2307333	297930752	32271	2373021	2334247	297930752	32451	2406512	2358467	297938944	32621	2423247	2389392	297824256	32791	2458011	2410431	297811968	32961	2475425	2440354	297811968	33141	2511922	2462064	297574400	33311	2526058	2495688	297574400	33481	2562968	2513721	297353216	33661	2578027	2549023	297353216	33831	2617271	2565228	296755200	34001	2628478	2601843	296755200	34181	2672054	2617236	296808448	34351	2679280	2656829	296792064	34531	2725878	2668658	296779776	34711	2736145	2711097	296779776	34891	2781583	2721717	297041920	35061	2790077	2763148	297041920	35231	2832036	2772049	296947712	35401	2843626	2813985	296947712	35571	2881804	2824630	297758720	35699	2881804	2862289
4	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	339349302.799180	303738880	38210	2881804	2862289	303976448	38391	2927186	2874531	303632384	38571	2937487	2911600	303632384	38741	2980266	2925287	301928448	38911	2987238	2965496	301928448	39081	3031661	2977169	301146112	39251	3039331	3017706	301146112	39421	3084327	3028820	301002752	39591	3091410	3071084	301002752	39761	3136075	3081122	300482560	39931	3143149	3121831	300482560	40111	3189802	3134243	300376064	40281	3196038	3175003	300376064	40451	3240551	3185698	299679744	40621	3247812	3226139	299671552	40801	3295551	3238000	299319296	40971	3302568	3279963	299319296	41151	3348942	3290163	298946560	41331	3360667	3332403	298946560	41501	3402540	3343241	298680320	41671	3410609	3384832	298680320	41840	3454024	3394029	298213376	42011	3463208	3435562	298213376	42191	3505864	3445871	298057728	42371	3520686	3487878	298057728	42551	3556255	3503638	297832448	42721	3577342	3539212	297832448	42901	3607221	3560538	297734144	43081	3634964	3592176	298000384	43251	3659020	3616447	297676800	43431	3688438	3645241	297369600	43611	3712009	3672255	297562112	43781	3741978	3697824	297959424	43961	3764069	3726894	297934848	44141	3801437	3749536	297914368	44321	3812685	3788563	297955328	44491	3855549	3801349	297611264	44661	3863614	3841161	297611264	44841	3910517	3853969	297406464	45011	3917427	3896200	297406464	45181	3961804	3905118	297226240	45361	3973137	3948036	297226240	45541	4018506	3959174	297287680	45721	4030058	4001066	297287680	45890	4071917	4011930	297750528	46061	4080309	4053314	298016768	46241	4120570	4066012	297721856	46411	4139103	4102950	297721856	46591	4172702	4120671	297639936	46700	4172702	4153187
5	hash_map	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE		244	8000	340915726.056066	303620096	49310	4172702	4153187	303857664	49481	4213183	4164298	303415296	49661	4228698	4200260	303415296	49831	4268552	4216131	301543424	50001	4279188	4253934	301543424	50171	4320591	4268491	300642304	50341	4331526	4304694	300642304	50511	4370873	4320304	300404736	50681	4384039	4354888	300388352	50851	4421819	4372200	300163072	51021	4436357	4404973	300163072	51191	4474215	4423362	300265472	51361	4487067	4458248	300232704	51531	4525203	4475389	299868160	51701	4539401	4508709	299720704	51881	4578648	4527764	299192320	52060	4591408	4566028	299192320	52231	4632659	4580538	298721280	52401	4643683	4616655	298721280	52571	4684656	4631423	298311680	52741	4694037	4669754	298311680	52911	4735875	4683689	297697280	53091	4746734	4722835	297730048	53271	4792304	4736125	297484288	53441	4798587	4778225	297484288	53611	4844931	4787252	297312256	53781	4852101	4829296	297312256	53950	4896586	4838028	298160128	54121	4904244	4879767	298160128	54291	4946972	4890140	297746432	54461	4953813	4932277	297746432	54641	5000907	4942088	297394176	54811	5009113	4983758	297660416	54981	5053334	4993498	297209856	55161	5064906	5035429	297209856	55331	5105976	5045985	297095168	55501	5115951	5087598	297095168	55671	5156981	5096994	296804352	55841	5168519	5138677	296804352	56011	5207374	5148770	296017920	56181	5222096	5189595	296017920	56351	5259896	5200488	295759872	56521	5273116	5241745	296026112	56691	5310211	5253079	295899136	56871	5328943	5292522	295899136	57041	5361935	5307072	296161280	57211	5379752	5344174	296427520	57381	5412387	5360016	295870464	57551	5432031	5395506	297668608	57840	5464596	5445081
