benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op	push_iterations	remove_next_iterations	remove_prev_iterations
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1144.063201	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.610888	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.559240	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.837305	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.820402	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.613703	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.280275	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.369208	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.830143	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.968304	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.973629	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.951537	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.008685	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.031982	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.919288	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.074893	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.014982	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.050150	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.028246	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.929112	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.832877	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.572834	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.474283	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.811846	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.872882	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.037405	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.970072	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1142.008016	1.000000	1.000000	1.000000
list	stamp	N3emr8stamp_itE	elements: 10; modify-fraction: 0.799805	1	8000	1141.913147	1.000000	1.000000	1.000000
