trial	benchmark	reclaimer	reclaimer-type	params	threads	runtime	ns/op
1	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.021607
2	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.073681
3	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.693136
4	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.705660
5	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.683969
6	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.587050
7	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.663818
8	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.697155
9	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.692305
10	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.711604
11	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.647649
12	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.566482
13	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.666604
14	list	LFRC-padded-20	N3emr19lock_free_ref_countILb1ELm20EEE	elements: 1; modify-fraction: 0.000000	1	8000	401.705869
